process_id,process_name,process_category,department,step_id,step_order,step_name,owner_role,system_used,monthly_volume,manual_time_minutes_per_case,waiting_time_hours_per_case,error_rate,rework_time_minutes_per_error,cost_per_hour_usd,automation_feasibility,automation_complexity,automation_time_reduction_pct,automation_error_reduction_pct,automation_waiting_time_reduction_pct,automation_setup_cost_usd,data_generated_at,manual_hours_before,rework_hours_before,total_labor_hours_before,labor_cost_before_usd,waiting_hours_total,expected_rework_time_per_case_hours,cycle_time_before_per_case_hours,normalized_labor_cost,normalized_waiting_hours,normalized_rework_hours,normalized_error_rate,bottleneck_score,bottleneck_rank,bottleneck_severity,manual_time_minutes_after,error_rate_after,waiting_time_hours_after,manual_hours_after,rework_hours_after,total_labor_hours_after,labor_cost_after_usd,waiting_hours_after_total,expected_rework_time_after_per_case_hours,cycle_time_after_per_case_hours,monthly_labor_hours_saved,annual_labor_hours_saved,monthly_labor_cost_savings_usd,annual_labor_cost_savings_usd,monthly_waiting_hours_reduced,annual_waiting_hours_reduced,cycle_time_reduction_hours_per_case,cycle_time_reduction_pct,annual_net_benefit_usd,roi_pct,payback_months,roi_classification,normalized_annual_net_benefit,normalized_bottleneck_score,normalized_roi,normalized_payback_speed,normalized_waiting_reduction,automation_priority_score,automation_priority_rank,recommendation,implementation_phase,business_rationale
P001,Invoice Approval,Finance,Accounts Payable,P001-S02,2,Data Validation,AP Analyst,Excel / ERP,414,16,28.05,0.0991,28,18.35,High,Medium,0.6047,0.6263,0.358,8121.0,2026-07-08 17:14:22,110.4,19.14612,129.54612,2377.171302,11612.7,0.0462466666666666,28.36291333333333,0.2186752604019578,0.3675448593560523,0.5734865619267885,0.4753894080996885,0.3728055225478118,5,Medium,6.3248,0.03703367,18.008100000000002,43.64112,7.154905044,50.796025044,932.1070595574,7455.353400000001,0.0172823793333333,18.13079571266667,78.750094956,945.001139472,1445.0642424426,17340.7709093112,4157.3466,49888.1592,10.23211762066666,0.3607569328444631,9219.7709093112,113.52999518915404,5.619819355763055,Moderate Business Case,0.39804429477433095,0.5896516633164403,0.11754908389789827,0.7884742736867633,0.39721067513144676,0.4483282296071482,11,Backlog Candidate,Phase 3 - Backlog,This step may create value later but is not an immediate priority.
P006,Sales Order Entry,Sales Operations,Sales,P006-S03,3,Pricing Validation,Sales Analyst,Excel / ERP,381,29,17.2,0.0532,17,25.58,Medium,Medium,0.362,0.266,0.1553,8071.5,2026-07-08 17:14:22,184.15,5.74294,189.89294,4857.4614052,6553.2,0.0150733333333333,17.698406666666667,0.5486028986352003,0.1916943067797087,0.1459188133024962,0.1894080996884735,0.3071142841700029,7,Medium,18.502,0.0390487999999999,14.52884,117.4877,4.215317959999999,121.70301795999998,3113.163199416799,5535.488039999999,0.0110638266666666,14.848270493333333,68.18992204000003,818.2790644800003,1744.2982057832005,20931.57846939841,1017.7119600000004,12212.543520000008,2.850136173333336,0.161039139116478,12860.078469398406,159.32699584214097,4.627362439082397,Moderate Business Case,0.48404726979055906,0.47650496502823264,0.15070903299520064,0.8323744163938895,0.040609103474610345,0.4233993015998105,12,Pilot This Step,Phase 2 - Pilot,This step has moderate feasibility and positive ROI. Test automation in a limited scope before full deployment.
P006,Sales Order Entry,Sales Operations,Sales,P006-S02,2,Customer Data Check,Sales Coordinator,CRM / ERP,381,13,12.76,0.1018,18,25.58,High,Medium,0.7282,0.5997,0.5515,8071.5,2026-07-08 17:14:22,82.55,11.63574,94.18574,2409.2712292,4861.56,0.03054,13.007206666666669,0.2229451855832465,0.1328988074694516,0.3339019060531143,0.4922118380062306,0.2585126141065292,11,Medium,3.5334000000000003,0.04075054,5.72286,22.43709,4.657786722,27.094876722,693.08694654876,2180.40966,0.012225162,5.793975162,67.090863278,805.090359336,1716.1842826512402,20594.211391814883,2681.1503400000006,32173.80408000001,7.213231504666669,0.5545565385035272,12522.711391814884,155.147263728116,4.7031662517796615,Moderate Business Case,0.4760769068841846,0.3927933676406498,0.1476826403894572,0.8290213255551615,0.22954342503703964,0.41786548339028745,13,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S02,2,Budget Check,Procurement Analyst,Excel / ERP,326,12,13.65,0.0705,24,30.87,High,Medium,0.7046,0.7154,0.5232,7989.0,2026-07-08 17:14:22,65.2,9.193199999999996,74.39320000000001,2296.5180840000003,4449.900000000001,0.0281999999999999,13.8782,0.2079467872703996,0.1185909433576663,0.2559837307600286,0.297196261682243,0.2041348439562819,16,Low,3.5448,0.0200642999999999,6.50832,19.26008,2.61638472,21.87646472,675.3264659064,2121.71232,0.0080257199999999,6.57542572,52.516735280000006,630.2008233600001,1621.1916180936005,19454.2994171232,2328.1876800000005,27938.252160000004,7.302774279999999,0.5262047153089017,11465.299417123202,143.51357387812246,4.927856714059788,Moderate Business Case,0.4510953430629424,0.29913300585252495,0.13925910701960473,0.8190824121441709,0.18945371597070773,0.3797714092046313,14,Backlog Candidate,Phase 3 - Backlog,This step may create value later but is not an immediate priority.
P004,Employee Onboarding,Human Resources,HR,P004-S01,1,Document Collection,HR Coordinator,Email / Forms,85,20,40.51,0.1107,22,26.39,High,Low,0.7389,0.7153,0.3959,2542.5,2026-07-08 17:14:22,28.33333333333333,3.4501500000000003,31.783483333333333,838.7661251666667,3443.35,0.04059,40.883923333333335,0.0140369457211174,0.0836067801605681,0.0727777334715687,0.5476635514018693,0.1267000444551557,19,Low,5.222,0.0315162899999999,24.472091,7.397833333333333,0.982257705,8.380091038333333,221.15060250161667,2080.127735,0.0115559729999999,24.570680306333337,23.403392295,280.84070754,617.6155226650501,7411.386271980601,1363.222265,16358.66718,16.313243027,0.3990136390286091,4868.886271980601,191.49995170031863,4.116638761002883,Moderate Business Case,0.29525379793129214,0.16575917834493623,0.17400430481115844,0.8549656664267747,0.0798523696231303,0.3010468818541826,15,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P004,Employee Onboarding,Human Resources,HR,P004-S02,2,Employee Data Entry,HR Coordinator,HRIS,85,36,23.54,0.1833,30,26.39,High,Medium,0.6462,0.649,0.4904,7627.5,2026-07-08 17:14:22,51.0,7.790249999999999,58.79025,1551.4746975,2000.9,0.09165,24.23165,0.1088412815990653,0.0334722550960861,0.2112289656272429,1.0,0.2403819182139473,13,Low,12.7368,0.0643382999999999,11.995984,18.0438,2.7343777499999997,20.77817775,548.3361108225,1019.65864,0.0321691499999999,12.24043315,38.01207225,456.144867,1003.1385866775,12037.66304013,981.24136,11774.896320000002,11.99121685,0.4948576283496996,4410.163040130001,57.81924667492626,7.603635331448149,Long-Term Business Case,0.2844163722476047,0.3615650268668793,0.07721094911692718,0.7007225506915418,0.036466751013093344,0.2999134159194273,16,Backlog Candidate,Phase 3 - Backlog,This step may create value later but is not an immediate priority.
P001,Invoice Approval,Finance,Accounts Payable,P001-S04,4,Payment Scheduling,AP Analyst,ERP,414,11,9.64,0.0314,15,18.35,Medium,Low,0.3851,0.2889,0.3893,2707.0,2026-07-08 17:14:22,75.9,3.2499,79.1499,1452.400665,3990.96,0.00785,9.831183333333334,0.0956624758171141,0.1026397915443672,0.0663896642475476,0.0535825545171339,0.0855891200263797,21,Low,6.7639,0.02232854,5.887148000000001,46.67091,2.3110038900000003,48.98191389,898.8181198815001,2437.279272,0.005582135,6.005461801666668,30.16798611,362.01583332,553.5825451184998,6642.9905414219975,1553.6807279999998,18644.168736,3.825721531666666,0.3891415104319418,3935.9905414219975,145.4004632959733,4.889966318248962,Moderate Business Case,0.27321395462583925,0.09494965370270683,0.14062533529123922,0.8207584484086852,0.10148475524400796,0.26708890965737986,17,Pilot This Step,Phase 2 - Pilot,This step has moderate feasibility and positive ROI. Test automation in a limited scope before full deployment.
P001,Invoice Approval,Finance,Accounts Payable,P001-S01,1,Invoice Received,AP Clerk,Email / ERP,414,6,12.27,0.0316,12,18.35,High,Low,0.6188,0.5558,0.5709,2707.0,2026-07-08 17:14:22,41.4,2.6164800000000006,44.01648,807.7024080000001,5079.78,0.00632,12.37632,0.0099048569681441,0.1404833726603221,0.046183268203206,0.054828660436137,0.0630726644430089,22,Low,2.2872,0.01403672,5.2650570000000005,15.78168,1.1622404160000002,16.943920416,310.9209396336,2179.7335980000003,0.002807344,5.3059843440000005,27.072559584,324.870715008,496.7814683664001,5961.377620396801,2900.0464019999995,34800.55682399999,7.070335655999999,0.5712793185696555,3254.377620396801,120.22082084953088,5.449076047264022,Moderate Business Case,0.25711071663012885,0.05616727313988116,0.12239366837185006,0.7960268993810495,0.2544057700832428,0.2604983788638606,18,Backlog Candidate,Phase 3 - Backlog,This step may create value later but is not an immediate priority.
P006,Sales Order Entry,Sales Operations,Sales,P006-S04,4,Order Confirmation,Sales Coordinator,CRM / Email,381,5,10.6,0.0228,12,25.58,High,Low,0.727,0.5147,0.3702,2690.5,2026-07-08 17:14:22,31.75,1.73736,33.48736,856.6066688,4038.6,0.00456,10.687893333333331,0.0164100908698034,0.104295591588786,0.0181389265491666,0.0,0.0406599945909003,23,Low,1.3650000000000002,0.01106484,6.67588,8.667750000000002,0.8431408079999999,9.510890808,243.28858686864,2543.51028,0.002212968,6.700842968000001,23.976469192000003,287.71763030400007,613.31808193136,7359.81698317632,1495.08972,17941.07664,3.9870503653333302,0.3730436149562369,4669.31698317632,173.54829894727075,4.38679386645103,Moderate Business Case,0.2905389346194049,0.01756365329327472,0.16100616338233342,0.8430156789936694,0.09482995367201413,0.25968917360185867,19,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P001,Invoice Approval,Finance,Accounts Payable,P001-S03,3,Manager Approval,Finance Manager,Email / ERP,414,8,60.42,0.0264,23,18.35,Medium,Medium,0.3551,0.3973,0.3524,8121.0,2026-07-08 17:14:22,55.2,4.18968,59.389680000000006,1089.8006280000002,25013.88,0.0101199999999999,60.563453333333335,0.0474294994905341,0.833323080163453,0.0963690884440545,0.022429906542056,0.2892355525408421,8,Medium,5.1592,0.01591128,39.127992,35.59848,2.525120136,38.123600136,699.5680624956001,16198.988688,0.006099324,39.22007799066666,21.266079864000005,255.1929583680001,390.2325655044001,4682.790786052801,8814.891312000002,105778.69574400004,21.343375342666675,0.3524134468554084,-3438.209213947199,-42.33726405550054,20.81066706850336,Weak Business Case,0.09899704936234564,0.44571060792103195,0.004691248039783362,0.11652532434400376,0.926217376484821,0.252165552697001,20,Do Not Automate Yet,Hold,The financial case is too weak to justify automation at this time.
P005,Document Control Renewal,Compliance,Quality,P005-S02,2,Owner Follow-up,Document Controller,Email,209,8,81.5,0.0642,13,38.43,Medium,Medium,0.4348,0.4447,0.2826,7813.5,2026-07-08 17:14:22,27.866666666666667,2.9071899999999995,30.773856666666667,1182.6393117,17033.5,0.0139099999999999,81.64724333333334,0.0597788805610411,0.5559529382978139,0.0554570539915463,0.2579439252336448,0.2374914892690645,15,Low,4.521599999999999,0.0356502599999999,58.4681,15.750239999999998,1.614362607,17.364602607,667.32167818701,12219.8329,0.007724223,58.551184223,13.409254059666669,160.91104871600004,515.31763351299,6183.81160215588,4813.667100000001,57764.00520000001,23.096059110333336,0.2828761654088097,-1629.68839784412,-20.8573417526604,15.162492978814472,Weak Business Case,0.14172370583197524,0.3565865472427132,0.020244081631948616,0.3663655384676966,0.47175594827526734,0.23784299048434182,21,Do Not Automate Yet,Hold,The financial case is too weak to justify automation at this time.
P004,Employee Onboarding,Human Resources,HR,P004-S04,4,Policy Acknowledgment,HR Coordinator,HRIS / Forms,85,19,12.21,0.055,15,26.39,High,Low,0.6587,0.6134,0.6361,2542.5,2026-07-08 17:14:22,26.916666666666668,1.16875,28.085416666666667,741.1741458333333,1037.85,0.01375,12.540416666666667,0.0010552823219801,0.0,0.0,0.2006230529595015,0.0304628067566182,24,Low,6.484700000000001,0.021263,4.443219,9.186658333333334,0.45183875,9.638497083333334,254.3599380291667,377.673615,0.00531575,4.556613083333334,18.446919583333333,221.363035,486.8142078041666,5841.77049365,660.176385,7922.11662,7.983803583333334,0.6366457985845765,3299.2704936499995,129.76481784267452,5.222731710046526,Moderate Business Case,0.25817131950312044,0.0,0.129304130846794,0.8060389699684877,0.0,0.22421806751556808,22,Backlog Candidate,Phase 3 - Backlog,This step may create value later but is not an immediate priority.
P005,Document Control Renewal,Compliance,Quality,P005-S04,4,Final Release,Quality Manager,QMS,209,17,70.68,0.0466,19,38.43,Low,High,0.2894,0.0671,0.1229,15627.0,2026-07-08 17:14:22,59.21666666666667,3.084143333333333,62.30081,2394.2201283,14772.12,0.0147566666666666,70.97809000000001,0.2209430914869388,0.4773552660801853,0.0611019485870749,0.1482866043613707,0.2550000422161048,12,Medium,12.0802,0.04347314,61.99342800000001,42.079363333333326,2.8771973156666677,44.956560649,1727.68062574107,12956.626452000002,0.0137664943333333,62.20853116100001,17.344249351000002,208.130992212,666.53950255893,7998.474030707161,1815.4935479999983,21785.922575999983,8.769558838999998,0.1235530406495863,-7628.525969292839,-48.81631771480668,23.444972038425263,Weak Business Case,0.0,0.38674330797187445,0.0,0.0,0.13122161121521994,0.1098079881144906,23,Do Not Automate Yet,Hold,The financial case is too weak to justify automation at this time.
P004,Employee Onboarding,Human Resources,HR,P004-S03,3,Access Request,IT Support,Ticketing System,85,18,79.34,0.0672,24,26.39,Medium,Medium,0.4701,0.2786,0.3712,7627.5,2026-07-08 17:14:22,25.5,2.2848,27.7848,733.2408720000001,6743.900000000001,0.02688,79.66688,0.0,0.1983223728685137,0.035602520137172,0.2766355140186916,0.1081125429907922,20,Low,9.5382,0.04847808,49.888992,13.51245,1.64825472,15.16070472,400.0909975608,4240.56432,0.0193912319999999,50.067353232,12.62409528,151.48914336,333.14987443920006,3997.7984932704007,2503.33568,30040.02816,29.59952676800001,0.3715411820821903,-3629.7015067295993,-47.58704040287904,22.89510092969289,Weak Business Case,0.09447300665437992,0.13374403489423206,0.0008900751688709251,0.024322889727659835,0.2093471300886484,0.08653907222165999,24,Do Not Automate Yet,Hold,The financial case is too weak to justify automation at this time.
