process_id,process_name,process_category,department,step_id,step_order,step_name,owner_role,system_used,monthly_volume,manual_time_minutes_per_case,waiting_time_hours_per_case,error_rate,rework_time_minutes_per_error,cost_per_hour_usd,automation_feasibility,automation_complexity,automation_time_reduction_pct,automation_error_reduction_pct,automation_waiting_time_reduction_pct,automation_setup_cost_usd,data_generated_at,manual_hours_before,rework_hours_before,total_labor_hours_before,labor_cost_before_usd,waiting_hours_total,expected_rework_time_per_case_hours,cycle_time_before_per_case_hours,normalized_labor_cost,normalized_waiting_hours,normalized_rework_hours,normalized_error_rate,bottleneck_score,bottleneck_rank,bottleneck_severity
P006,Sales Order Entry,Sales Operations,Sales,P006-S02,2,Customer Data Check,Sales Coordinator,CRM / ERP,381,13,12.76,0.1018,18,25.58,High,Medium,0.7282,0.5997,0.5515,8071.5,2026-07-08 16:33:13,82.55,11.63574,94.18574,2409.2712291999997,4861.5599999999995,0.03054,13.007206666666667,0.22294518558324655,0.1328988074694516,0.3339019060531143,0.4922118380062306,0.2585126141065292,11,Medium
P005,Document Control Renewal,Compliance,Quality,P005-S04,4,Final Release,Quality Manager,QMS,209,17,70.68,0.0466,19,38.43,Low,High,0.2894,0.0671,0.1229,15627.0,2026-07-08 16:33:13,59.21666666666667,3.084143333333333,62.30081,2394.2201283,14772.12,0.014756666666666668,70.97809000000001,0.22094309148693883,0.47735526608018536,0.06110194858707498,0.14828660436137076,0.2550000422161048,12,Medium
P004,Employee Onboarding,Human Resources,HR,P004-S02,2,Employee Data Entry,HR Coordinator,HRIS,85,36,23.54,0.1833,30,26.39,High,Medium,0.6462,0.649,0.4904,7627.5,2026-07-08 16:33:13,51.0,7.7902499999999995,58.79025,1551.4746975,2000.8999999999999,0.09165,24.231650000000002,0.10884128159906536,0.0334722550960861,0.21122896562724297,1.0,0.2403819182139473,13,Low
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S04,4,Case Closure,Support Agent,CRM,1150,9,3.53,0.0699,7,17.22,High,Low,0.6847,0.6868,0.4785,3075.0,2026-07-08 16:33:13,172.5,9.378250000000001,181.87825,3131.943465,4059.5,0.008155,3.6881549999999996,0.3190748857609056,0.10502200260743322,0.26188691283196436,0.2934579439252337,0.23957888495372484,14,Low
P005,Document Control Renewal,Compliance,Quality,P005-S02,2,Owner Follow-up,Document Controller,Email,209,8,81.5,0.0642,13,38.43,Medium,Medium,0.4348,0.4447,0.2826,7813.5,2026-07-08 16:33:13,27.866666666666667,2.9071899999999995,30.773856666666667,1182.6393117,17033.5,0.013909999999999999,81.64724333333334,0.05977888056104115,0.5559529382978139,0.05545705399154636,0.25794392523364484,0.23749148926906458,15,Low
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S02,2,Budget Check,Procurement Analyst,Excel / ERP,326,12,13.65,0.0705,24,30.87,High,Medium,0.7046,0.7154,0.5232,7989.0,2026-07-08 16:33:13,65.2,9.193199999999997,74.39320000000001,2296.5180840000003,4449.900000000001,0.028199999999999996,13.8782,0.20794678727039967,0.11859094335766637,0.25598373076002867,0.297196261682243,0.20413484395628198,16,Low
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S01,1,Request Intake,Buyer,Email / ERP,326,14,5.26,0.0576,30,30.87,High,Low,0.7518,0.6824,0.5109,2663.0,2026-07-08 16:33:13,76.06666666666666,9.3888,85.45546666666667,2638.010256,1714.76,0.0288,5.522133333333334,0.2533720000863277,0.023527027877152423,0.2622234627960763,0.21682242990654207,0.180706365438557,17,Low
P006,Sales Order Entry,Sales Operations,Sales,P006-S01,1,Order Intake,Sales Coordinator,Email / CRM,381,15,6.23,0.0569,16,25.58,High,Low,0.7867,0.5413,0.5083,2690.5,2026-07-08 16:33:13,95.25,5.78104,101.03104,2584.3740032,2373.63,0.015173333333333334,6.495173333333334,0.246237317660609,0.04642704834873568,0.14713422122976313,0.21246105919003117,0.16140717881029115,18,Low
P004,Employee Onboarding,Human Resources,HR,P004-S01,1,Document Collection,HR Coordinator,Email / Forms,85,20,40.51,0.1107,22,26.39,High,Low,0.7389,0.7153,0.3959,2542.5,2026-07-08 16:33:13,28.333333333333332,3.4501500000000003,31.783483333333333,838.7661251666667,3443.35,0.04059,40.883923333333335,0.014036945721117498,0.08360678016056812,0.07277773347156873,0.5476635514018693,0.1267000444551557,19,Low
P004,Employee Onboarding,Human Resources,HR,P004-S03,3,Access Request,IT Support,Ticketing System,85,18,79.34,0.0672,24,26.39,Medium,Medium,0.4701,0.2786,0.3712,7627.5,2026-07-08 16:33:13,25.5,2.2847999999999997,27.7848,733.2408720000001,6743.900000000001,0.02688,79.66688,0.0,0.1983223728685137,0.035602520137172015,0.2766355140186916,0.10811254299079225,20,Low
P001,Invoice Approval,Finance,Accounts Payable,P001-S04,4,Payment Scheduling,AP Analyst,ERP,414,11,9.64,0.0314,15,18.35,Medium,Low,0.3851,0.2889,0.3893,2707.0,2026-07-08 16:33:13,75.9,3.2499,79.1499,1452.4006650000001,3990.96,0.00785,9.831183333333334,0.09566247581711416,0.1026397915443672,0.06638966424754765,0.053582554517133944,0.08558912002637974,21,Low
P001,Invoice Approval,Finance,Accounts Payable,P001-S01,1,Invoice Received,AP Clerk,Email / ERP,414,6,12.27,0.0316,12,18.35,High,Low,0.6188,0.5558,0.5709,2707.0,2026-07-08 16:33:13,41.4,2.6164800000000006,44.01648,807.7024080000001,5079.78,0.006320000000000001,12.37632,0.009904856968144183,0.14048337266032218,0.046183268203206014,0.05482866043613709,0.0630726644430089,22,Low
P006,Sales Order Entry,Sales Operations,Sales,P006-S04,4,Order Confirmation,Sales Coordinator,CRM / Email,381,5,10.6,0.0228,12,25.58,High,Low,0.727,0.5147,0.3702,2690.5,2026-07-08 16:33:13,31.75,1.73736,33.48736,856.6066688,4038.6,0.00456,10.687893333333333,0.01641009086980341,0.10429559158878603,0.0181389265491666,0.0,0.04065999459090032,23,Low
P004,Employee Onboarding,Human Resources,HR,P004-S04,4,Policy Acknowledgment,HR Coordinator,HRIS / Forms,85,19,12.21,0.055,15,26.39,High,Low,0.6587,0.6134,0.6361,2542.5,2026-07-08 16:33:13,26.916666666666668,1.16875,28.085416666666667,741.1741458333333,1037.8500000000001,0.01375,12.540416666666667,0.001055282321980127,0.0,0.0,0.20062305295950159,0.03046280675661828,24,Low
